;online_transaction_flg;code;category;transaction_amt;customer_id;day_time;day_of_week;time_of_day
0;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;13231;Понедельник День;1;День
1;online;Лимузины и такси;Транспорт;200;13231;Понедельник День;1;День
2;online;Лимузины и такси;Транспорт;100;13231;Понедельник День;1;День
3;online;Лимузины и такси;Транспорт;200;13231;Понедельник День;1;День
4;offline;Фастфуд;Фаст Фуд;100;13231;Понедельник Утро;1;Утро
5;online;Лимузины и такси;Транспорт;100;13231;Понедельник День;1;День
6;offline;Фастфуд;Фаст Фуд;100;13231;Понедельник Утро;1;Утро
7;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;13231;Понедельник День;1;День
8;offline;Места общественного питания, рестораны;Рестораны;500;13231;Вторник День;2;День
9;offline;Места общественного питания, рестораны;Рестораны;500;13231;Вторник День;2;День
10;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;13231;Вторник День;2;День
11;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;13231;Вторник День;2;День
12;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;13231;Вторник День;2;День
13;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;13231;Вторник День;2;День
14;online;Государственные услуги — нигде более не классифицированные;Госсборы;100;13231;Среда Вечер;3;Вечер
15;online;Лимузины и такси;Транспорт;100;13231;Среда Вечер;3;Вечер
16;online;Государственные услуги — нигде более не классифицированные;Госсборы;100;13231;Среда Вечер;3;Вечер
17;offline;Фастфуд;Фаст Фуд;200;13231;Среда Утро;3;Утро
18;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;13231;Среда День;3;День
19;online;Лимузины и такси;Транспорт;100;13231;Среда Вечер;3;Вечер
20;offline;Бакалейные магазины, супермаркеты;Супермаркеты;200;13231;Среда День;3;День
21;offline;Фастфуд;Фаст Фуд;200;13231;Среда Утро;3;Утро
22;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;13231;Четверг День;4;День
23;offline;Фастфуд;Фаст Фуд;200;13231;Четверг Утро;4;Утро
24;offline;Фастфуд;Фаст Фуд;200;13231;Четверг Утро;4;Утро
25;offline;Бакалейные магазины, супермаркеты;Супермаркеты;600;13231;Четверг День;4;День
26;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1000;13231;Пятница Вечер;5;Вечер
27;offline;Фастфуд;Фаст Фуд;100;13231;Пятница Утро;5;Утро
28;offline;Фастфуд;Фаст Фуд;100;13231;Пятница Утро;5;Утро
29;offline;Бакалейные магазины, супермаркеты;Супермаркеты;50;13231;Пятница День;5;День
30;offline;Бакалейные магазины, супермаркеты;Супермаркеты;50;13231;Пятница День;5;День
31;offline;Фастфуд;Фаст Фуд;1100;13231;Пятница Вечер;5;Вечер
32;offline;Фастфуд;Фаст Фуд;500;13231;Пятница День;5;День
33;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;13231;Пятница Утро;5;Утро
34;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1000;13231;Пятница Вечер;5;Вечер
35;offline;Фастфуд;Фаст Фуд;1100;13231;Пятница Вечер;5;Вечер
36;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;13231;Пятница Утро;5;Утро
37;offline;Фастфуд;Фаст Фуд;500;13231;Пятница День;5;День
38;offline;Бакалейные магазины, супермаркеты;Супермаркеты;400;13231;Пятница Вечер;5;Вечер
39;offline;Бакалейные магазины, супермаркеты;Супермаркеты;400;13231;Пятница Вечер;5;Вечер
40;offline;Места общественного питания, рестораны;Рестораны;300;13231;Суббота Утро;6;Утро
41;offline;Места общественного питания, рестораны;Рестораны;300;13231;Суббота Утро;6;Утро
42;offline;Бакалейные магазины, супермаркеты;Супермаркеты;800;13231;Суббота Вечер;6;Вечер
43;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;13231;Суббота Вечер;6;Вечер
44;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;13231;Суббота Вечер;6;Вечер
45;offline;Бакалейные магазины, супермаркеты;Супермаркеты;800;13231;Суббота Вечер;6;Вечер
46;offline;Фастфуд;Фаст Фуд;300;13231;Воскресенье Вечер;7;Вечер
47;offline;Фастфуд;Фаст Фуд;500;13231;Воскресенье Вечер;7;Вечер
48;offline;Фастфуд;Фаст Фуд;300;13231;Воскресенье Вечер;7;Вечер
49;offline;Фастфуд;Фаст Фуд;500;13231;Воскресенье Вечер;7;Вечер
50;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Понедельник Вечер;1;Вечер
51;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Понедельник День;1;День
52;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;100;16850;Понедельник Ночь;1;Ночь
53;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Понедельник Вечер;1;Вечер
54;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;40;16850;Понедельник Вечер;1;Вечер
55;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;16850;Понедельник Вечер;1;Вечер
56;online;Услуги отдыха — нигде более не классифицированные;Развлечения;100;16850;Вторник День;2;День
57;online;Услуги отдыха — нигде более не классифицированные;Развлечения;90;16850;Вторник День;2;День
58;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;200;16850;Вторник День;2;День
59;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;1000;16850;Вторник День;2;День
60;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;400;16850;Вторник Вечер;2;Вечер
61;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;100;16850;Вторник Утро;2;Утро
62;offline;Фастфуд;Фаст Фуд;300;16850;Вторник Вечер;2;Вечер
63;offline;Бакалейные магазины, супермаркеты;Супермаркеты;60;16850;Вторник Вечер;2;Вечер
64;offline;Фастфуд;Фаст Фуд;100;16850;Вторник Утро;2;Утро
65;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;16850;Вторник День;2;День
66;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;16850;Вторник День;2;День
67;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;16850;Вторник Ночь;2;Ночь
68;offline;Товары для дома;Дом/Ремонт;900;16850;Среда Утро;3;Утро
69;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;600;16850;Среда Утро;3;Утро
70;online;Услуги отдыха — нигде более не классифицированные;Развлечения;90;16850;Среда Утро;3;Утро
71;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;100;16850;Среда Вечер;3;Вечер
72;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;100;16850;Среда День;3;День
73;offline;Бакалейные магазины, супермаркеты;Супермаркеты;60;16850;Среда Утро;3;Утро
74;offline;Фастфуд;Фаст Фуд;100;16850;Среда День;3;День
75;offline;Фастфуд;Фаст Фуд;500;16850;Среда День;3;День
76;online;Услуги отдыха — нигде более не классифицированные;Развлечения;70;16850;Четверг День;4;День
77;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;16850;Четверг Вечер;4;Вечер
78;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;400;16850;Четверг Вечер;4;Вечер
79;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;400;16850;Четверг Утро;4;Утро
80;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;200;16850;Четверг Вечер;4;Вечер
81;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;100;16850;Четверг День;4;День
82;offline;Бакалейные магазины, супермаркеты;Супермаркеты;800;16850;Четверг День;4;День
83;offline;Фастфуд;Фаст Фуд;50;16850;Четверг День;4;День
84;offline;Бакалейные магазины, супермаркеты;Супермаркеты;100;16850;Четверг Вечер;4;Вечер
85;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;50;16850;Пятница Ночь;5;Ночь
86;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;50;16850;Пятница Ночь;5;Ночь
87;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Пятница Ночь;5;Ночь
88;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Пятница Ночь;5;Ночь
89;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Пятница Вечер;5;Вечер
90;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;60;16850;Пятница Вечер;5;Вечер
91;offline;Бакалейные магазины, супермаркеты;Супермаркеты;300;16850;Пятница Вечер;5;Вечер
92;offline;Товары для дома;Дом/Ремонт;300;16850;Суббота День;6;День
93;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;90;16850;Суббота Утро;6;Утро
94;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;40;16850;Суббота Вечер;6;Вечер
95;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;100;16850;Суббота Вечер;6;Вечер
96;offline;Бакалейные магазины, супермаркеты;Супермаркеты;400;16850;Суббота Вечер;6;Вечер
97;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;100;16850;Воскресенье Утро;7;Утро
98;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;1;16850;Воскресенье День;7;День
99;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;300;16850;Воскресенье День;7;День
100;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;200;16850;Воскресенье Вечер;7;Вечер
101;offline;Табачные магазины;Разные товары;300;16850;Воскресенье Вечер;7;Вечер
102;online;Агентства по прокату автомобилей — нигде более не классифицированные;Аренда авто;400;16850;Воскресенье Вечер;7;Вечер
103;offline;Магазины с продажей спиртных напитков навынос;Супермаркеты;60;16850;Воскресенье Вечер;7;Вечер
104;online;Лимузины и такси;Транспорт;100;16850;Воскресенье Утро;7;Утро
105;offline;Бакалейные магазины, супермаркеты;Супермаркеты;40;16850;Воскресенье Утро;7;Утро
106;offline;Фастфуд;Фаст Фуд;300;16850;Воскресенье Вечер;7;Вечер
107;online;Бакалейные магазины, супермаркеты;Супермаркеты;4100;21038;Вторник День;2;День
108;offline;Фастфуд;Фаст Фуд;200;21038;Среда Вечер;3;Вечер
109;offline;Фастфуд;Фаст Фуд;900;21038;Среда Вечер;3;Вечер
110;offline;Бакалейные магазины, супермаркеты;Супермаркеты;1600;21038;Среда Вечер;3;Вечер
111;offline;Пассажирские перевозки — пригородные и местные пригородные рейсы, включая паромы;Транспорт;40;21038;Четверг Вечер;4;Вечер
112;online;Фастфуд;Фаст Фуд;1000;21038;Четверг Вечер;4;Вечер
113;offline;Различные продовольственные магазины — нигде более не классифицированные;Супермаркеты;300;21038;Пятница Вечер;5;Вечер
114;offline;Фастфуд;Фаст Фуд;200;21038;Пятница Вечер;5;Вечер
